stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000039,中集集团,11.02,11.15,11.15,53802100.0,-0.13,-1.17,11.43,10.89,59668,2.34,-521.20,4.84,253.62,594.26,1.27,12.27,10.04,0.71
000040,*ST旭蓝,0.49,0.49,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-2.06,0.00,5.17,7.29,0.07,-1,-1,0.00
000042,中洲控股,9.80,9.94,10.00,7549100.0,-0.14,-1.41,10.23,9.79,7581,1.14,-5.88,4.43,65.08,65.15,2.87,10.93,8.95,1.24
000045,深纺织Ａ,11.28,11.91,11.88,12515800.0,-0.63,-5.29,11.92,11.05,14261,2.74,81.90,7.30,51.55,57.14,1.90,13.10,10.72,1.47
000046,*ST泛海,0.38,0.38,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-0.11,0.00,19.66,19.75,-0.16,-1,-1,0.00
000047,ST中侨,8.03,8.03,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-7.64,0.00,2.64,9.67,-0.78,-1,-1,0.00
000048,京基智农,12.54,12.66,12.66,8387900.0,-0.12,-0.95,12.80,12.43,10538,1.58,-34.94,2.92,66.37,66.49,1.77,13.93,11.39,1.16
000049,德赛电池,25.32,26.29,26.36,9894400.0,-0.97,-3.69,26.50,25.25,25358,2.57,30.10,4.75,97.36,97.39,1.45,28.92,23.66,1.07
000050,深天马Ａ,7.62,8.18,8.17,50148900.0,-0.56,-6.85,8.24,7.57,39003,2.06,-272.03,8.19,185.60,185.61,0.69,9.00,7.36,0.74
000055,方大集团,3.46,3.46,3.50,9777200.0,0.00,0.00,3.55,3.44,3421,1.45,-7.14,3.18,23.38,37.16,0.66,3.81,3.11,0.86
000056,*ST皇庭,1.60,1.53,1.61,107376800.0,0.07,4.58,1.61,1.52,17122,11.88,-0.71,5.88,14.46,18.92,-0.79,1.61,1.45,3.03
000058,深 赛 格,7.24,7.22,7.23,7653400.0,0.02,0.28,7.40,7.20,5589,0.78,127.50,2.77,71.30,89.14,4.44,7.94,6.50,1.06
000059,华锦股份,4.43,4.50,4.48,20137100.0,-0.07,-1.56,4.51,4.41,8964,1.26,-5.15,2.22,70.85,70.86,0.73,4.95,4.05,0.93
000060,中金岭南,7.71,7.78,8.12,364920400.0,-0.07,-0.90,8.27,7.64,292359,8.22,33.17,8.10,342.41,342.41,1.71,8.56,7.00,1.37
000061,农 产 品,6.46,6.34,6.34,24952000.0,0.12,1.89,6.69,6.32,16203,1.39,29.62,5.84,115.91,128.23,1.48,6.97,5.71,1.97
000062,深圳华强,29.14,31.29,31.61,40748800.0,-2.15,-6.87,31.74,28.88,122711,3.90,54.59,9.14,304.48,304.78,4.51,34.42,28.16,0.62
000063,中兴通讯,36.72,38.30,38.50,269924700.0,-1.58,-4.13,38.78,36.44,1012941,6.70,39.25,6.11,1478.94,1756.51,2.29,42.13,34.47,1.91
000065,北方国际,12.26,12.04,12.22,26221300.0,0.22,1.83,12.68,12.13,32430,2.69,21.68,4.57,119.53,142.39,1.27,13.24,10.84,1.01
000066,中国长城,17.80,18.71,19.25,194131400.0,-0.91,-4.86,19.45,17.60,354423,6.02,2846.22,9.89,574.15,574.19,5.25,20.58,16.84,0.78
000068,华控赛格,3.14,3.23,3.23,41255100.0,-0.09,-2.79,3.34,3.12,13286,4.10,-30.02,6.81,31.61,31.61,5.40,3.55,2.91,2.73
000069,华侨城Ａ,1.94,1.88,1.90,99344600.0,0.06,3.19,2.03,1.89,19598,1.44,-1.08,7.45,133.83,155.93,0.46,2.07,1.69,2.07
000070,特发信息,18.07,17.84,17.88,75595400.0,0.23,1.29,18.65,17.33,136643,8.82,-32.02,7.40,154.81,156.92,19.45,19.62,16.06,1.26
000078,ST海王,1.68,1.60,1.60,132534700.0,0.08,5.00,1.68,1.59,22012,5.05,-7.72,5.62,44.10,44.20,3.56,1.68,1.52,1.02
000088,盐 田 港,4.47,4.42,4.42,27549100.0,0.05,1.13,4.50,4.40,12302,0.87,15.75,2.26,141.38,232.42,1.26,4.86,3.98,1.21
000089,深圳机场,6.80,6.68,6.69,13439800.0,0.12,1.80,6.83,6.67,9111,0.66,22.47,2.40,139.45,139.45,1.17,7.35,6.01,1.61
000090,天健集团,3.85,3.50,3.53,124390000.0,0.35,10.00,3.85,3.51,46795,6.66,45.02,9.71,71.93,71.94,0.64,3.85,3.15,7.53
